,name
534,二经路三纬路(河西大楼超市)
535,二道桥
536,二道沟
537,二附属西门
538,于三庄
539,于京村
540,于台子
541,于台桥
542,于各庄
543,于家堡[静海区]
544,于家村
545,于庄子小学
546,于庄子村
547,于怀庄
548,于户庄
549,于明庄
550,于潮庄
551,云丽园
552,云华里
553,云南路
554,云杉镇
555,云江里
556,云河桥
557,云舒花园
558,云锦世家公交车站
559,云鼎花园
560,云龙里
561,五一阳光
562,五一阳光南区
563,五一阳光锦园
564,五十一中学
565,五十中学
566,五十四中学
567,五号堤路
568,五小
569,五星村
570,五爱道
571,五登
572,五经路
573,五营村
574,五车地
575,五里铺
576,井下作业公司
577,井冈山桥
578,井冈山路
579,井冈山路公交站
580,亚平宁广场
581,交管北辰支队
582,交警四大队
583,交警支队[蓟州区]
584,交警滨海大队
585,交通大楼
586,交通宾馆
587,交通局[武清区]
588,交通新村
589,交通职业学院
590,亨远路
591,亨通花园
592,亨通路枫丹天城
593,京东第一镇
594,京东第一集
595,京津公路杨村站
596,京津新城公交站
597,京津新城管委会
598,京畿鼎园
599,京福公路[津同公路]
600,京福支线
601,京粮粮油
602,亲亲家园
603,人民公园
604,人民公园南门
605,人民医院
606,人民法庭
607,人民街(寨上街办事处)
608,人民西路
609,人民警察公寓
610,仁副营炮台(八一盐场)
611,仁和园
612,仁嘉花园
613,仁安路
614,仁居鑫园
615,仁居锦园
616,仁德路
617,仁恒滨河湾
618,仁智道
619,仁永名居
620,仁爱路
621,仁盛里
622,仇庄
623,今晚报大厦
624,仓上屯
625,仓上屯村
626,仓前庄
627,仓联庄
628,付台村
629,付家屯村
630,代庄子
631,任凤村
632,任千户
633,任贤东里
634,众惠里
635,众智园
636,众美青城
637,会宾园
638,会展中心
639,会展中心公交站
640,会议中心
641,估衣街
642,低碳产业基地
643,低碳实践基地
644,住重机械
645,体北站(体院北公交站)
646,体北道
647,体育中心北
648,体育中心站(体育中心公交站)
649,体育学院
650,体育学院东门
651,体育宾馆
652,体育馆
653,体育馆[中心路]
654,体育馆[宁波道]
655,体院北
656,何兴庄
657,何兴庄公交站
658,何兴庄外环小区(河兴庄外环小区)
659,何兴村
660,何庄子花市
661,佛罗伦萨小镇
662,佛罗伦萨小镇北门
663,佟楼
664,佟楼公交站
665,佳和康庭
666,佳和雅庭
667,佳园北里
668,佳园南里
669,佳园新里
670,佳园里
671,佳宁道
672,佳宁里
673,佳庆道
674,佳荣商场
675,佳音里
676,侯台公交站
677,侯台村
678,侯台花园
679,侯家营公交站
680,侯家营镇
681,侯家营镇政府
682,侯庄子村
683,保利天汇
684,保利海棠湾
685,保安大街
686,保定道
687,保泽道
688,保盈里
689,保税仓
690,保税区公交站
691,保税区管委会
692,保税路
693,信义玻璃
694,信义玻璃[新开路]
695,信友道
696,信德里
697,信息工程学校
698,信置商业
699,俭字沽
700,俱乐部
701,俵口中学
702,俵口乡政府
703,倚岸村
704,倚虹东里
705,倪黄庄
706,假日风景
707,健康产业园
708,健康产业园公交总站(天津健康产业园公交站)
709,健康产业园太湖路
710,健身公园
711,健身园
712,傅庄村委会
713,傅村
714,傅村中学
715,傑麦
716,儿童世界
717,儿童医院
718,儿童村
719,儿童药业
720,元吉里
721,元山里
722,元纬路
723,先春园
724,先登里
725,先锋村
726,先锋路
727,先锋里
728,光华桥
729,光华里
730,光明村
731,光明楼
732,光明道口(杨村第一中学)
733,光荣道
734,光辉集团
735,全和园
736,全红桥
737,八一礼堂
738,八仙山公交站
739,八仙里
740,八台港
741,八堡
742,八堡村
743,八户庄
744,八景园
745,八栋楼
746,八里台
747,八里台水厂
748,八里台第一小学
749,八里台镇卫生院
750,八里台镇卫生院(便民站)
751,八里台镇工业区南门
752,八里台镇潘家洼
753,八里坊
754,八里坊北区
755,八里庄(京福公路)
756,八里庄(胜利大街)
757,八里庄[武清区]
758,八里铺村
759,八门城镇
760,公乐园小区
761,公交三公司
762,公交四公司
763,公安局进出入境管理中心
764,公安总部基地
765,公安缉毒大队
766,公安街
767,公安警官职业学院
768,公用技师学院
769,公路口[津静公路]
770,公路工程所
771,公路管理所
772,六合里
773,六合镁
774,六安里
775,六支路一大道
776,六纬路八经路
777,六纬路六经路
778,六纬路十三经路
779,六纬路十二经路
780,六经路[东丽开发区]
781,六道口
782,六道沟
783,六道街村
784,六里台
785,六里台桥
786,六里庄
787,六间房
788,兰亭里
789,兰台
