,line_no,line_up,station_num,station_0,station_1,station_2,station_3,station_4,station_5,station_6,station_7,station_8,station_9,station_10,station_11,station_12,station_13,station_14,station_15,station_16,station_17,station_18,station_19,station_20,station_21,station_22,station_23,station_24,station_25,station_26,station_27,station_28,station_29,station_30,station_31,station_32,station_33,station_34,station_35,station_36,station_37,station_38,station_39,station_40,station_41,station_42,station_43,station_44,station_45,station_46,station_47,station_48,station_49,station_50,station_51,station_52,station_53,station_54,station_55,station_56,station_57,station_58,station_59,station_60,station_61,station_62,station_63,station_64,station_65,station_66,station_67,station_68,station_69,station_70,station_71,station_72,station_73,station_74,station_75,station_76,station_77,station_78,station_79,station_80,station_81,station_82,station_83,station_84,station_85
26,108路,0,17,新河庄(杭州道),珠江里[滨海塘沽],珠江小区,妇幼医院,杭州道福建北路,杭州道医院,杭州道中心北路,吉宁里,宏达公寓,洋货市场,地道口[滨海塘沽],烟台道[滨海塘沽],草场街,塘沽外滩公园,东大街,公安街,高铁于家堡站(终点站),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,108路,1,18,高铁于家堡站(终点站),公安街,新华路,新华书店,巨川金海岸,塘沽外滩公园,金元宝商厦西,地道口[滨海塘沽],洋货市场,宏达公寓,吉宁里,杭州道中心北路,杭州道医院,杭州道福建北路,妇幼医院,珠江小区,珠江里[滨海塘沽],新河庄(杭州道),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,109路,0,32,新河庄(广州道),岷江里,湘江里(广州道),塘沽九幼,广州道福建北路,广州道小学,广州道中心北路,吉林路,康居园,贻丰园,宏达公寓,洋货市场,地道口[滨海塘沽],烟台道[滨海塘沽],丹东街,塘沽电视台,体育馆[中心路],河滨公园,天津第五中心医院(医院路),大梁子渡口,宁波里小学,工人新村(上海道),实验学校(福建西路),塘沽火车站(营口道),滨海龙都小区,新河船厂,五车地,胡北路,红光家园,滨海客运站(109路),滨愉园,远洋城道公交站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,109路,1,37,远洋城道公交站,滨悦花园,香颂园,远洋城,公路管理所,塘沽职专,胡家园,滨海客运站,红光家园,胡北路,五车地,新河船厂,滨海龙都小区,塘沽火车站(营口道),实验学校(福建西路),工人新村(上海道),宁波里小学,大梁子渡口,天津第五中心医院(医院路),河滨公园,体育馆[中心路],塘沽电视台,丹东街,烟台道[滨海塘沽],地道口[滨海塘沽],洋货市场,宏达公寓,贻丰园,康居园,吉林路,广州道中心北路,广州道小学,广州道福建北路,塘沽九幼,湘江里(广州道),岷江里,新河庄(广州道),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,110路,0,31,塘沽火车站(新胡路),塘沽火车站(营口道),实验学校(福建西路),车站立交桥,赵家地,津塘公路,禧顺馨园,金元宝大五金,轻轨塘沽站,洋货市场,地道口[滨海塘沽],烟台道[滨海塘沽],海门大桥,极地海洋世界(河南东路),海昌商业街,东方文化广场,浙商大厦,滨海国泰大厦,安阳道,碧水庄园,远景庄园,潮音寺,和谐园,石油新村,蓝苑小区,和美苑,和荣苑,滨海新村西区,滨海新村,儿童世界,防潮闸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,110路,1,31,防潮闸,儿童世界,滨海新村,滨海新村西区,和荣苑,和美苑,蓝苑小区,石油新村,和谐园,潮音寺,远景庄园,碧水庄园,安阳道,滨海国泰大厦,浙商大厦,东方文化广场,海昌商业街,极地海洋世界(河南东路),海门大桥,烟台道[滨海塘沽],地道口[滨海塘沽],洋货市场,轻轨塘沽站,金元宝大五金,禧顺馨园,津塘公路,赵家地,车站立交桥,实验学校(福建西路),塘沽火车站(营口道),塘沽火车站(新胡路),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,131路,0,33,塘沽中心站,海门大桥,坨地,新桥里,紫枫苑,黄圈村[津沽公路],新城镇[津沽公路],新城镇政府,葛沽镇医院,福康里,葛沽,曾庄,葛沽创意中心,新房,十间房,茶棚,双桥开发区,李家圈,欣发公寓,欣达公寓,王庄[津南区],诺恩道,东张庄,咸水沽二中,新建里,剧场,咸水沽医院,米兰花园,金石南里,博雅花园,雅馨路天桥,电子信息职业学院,新慧路公交站(海河教育园一号公交站),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,131路,1,33,新慧路公交站(海河教育园一号公交站),电子信息职业学院,雅馨路天桥,博雅花园,金石南里,米兰花园,咸水沽医院,剧场,新建里,咸水沽二中,东张庄,诺恩道,王庄[津南区],欣达公寓,欣发公寓,李家圈,双桥开发区,茶棚,十间房,新房,葛沽创意中心,曾庄,葛沽,福康里,葛沽镇医院,新城镇政府,新城镇[津沽公路],黄圈村[津沽公路],紫枫苑,新桥里,坨地,海门大桥,塘沽中心站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,132路,0,32,塘沽外滩公园和平路站,烟台道[滨海塘沽],地道口[滨海塘沽],洋货市场,宏达公寓,吉宁里,杭州道中心北路,杭州道医院,杭州道福建北路,妇幼医院,珠江小区,珠江里[滨海塘沽],新河庄(杭州道),新河庄周转房,新河矿粉物流,环卫机扫中心,海军后勤,四道桥,华闽石材市场,春华路,渤油基地,建工新村,航天城,生态居住一区,高新七路,总部基地二区,金领公寓,渤龙湖庆典广场,渤龙山庄(高新六路),辰光路,航天十一院,高新区综合服务中心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,132路,1,32,高新区综合服务中心,航天十一院,辰光路,渤龙山庄(高新六路),渤龙湖庆典广场,金领公寓,总部基地二区,高新七路,生态居住一区,航天城,建工新村,渤油基地,春华路,华闽石材市场,四道桥,海军后勤,环卫机扫中心,新河矿粉物流,新河庄周转房,新河庄(杭州道),珠江里[滨海塘沽],珠江小区,妇幼医院,杭州道福建北路,杭州道医院,杭州道中心北路,吉宁里,宏达公寓,洋货市场,地道口[滨海塘沽],烟台道[滨海塘沽],塘沽外滩公园和平路站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,134路,0,27,高铁于家堡站(终点站),公安街,东大街,塘沽外滩公园,和平路,烟台道[滨海塘沽],地道口[滨海塘沽],洋货市场,宏达公寓,贻丰园,康乐园,宝山道,贻正嘉合,塘沽第一职专,塘沽审判管理委员会,燃气公司,武警五支队,塘沽森林公园,中建幸福城,滨海一号酒店,滨海新区区委党校,欣雅苑,黄港第一幼儿园,欣华苑北门,欣嘉园二期,欣嘉园第一小学,欣嘉园站(滨海欣嘉园公交站),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,134路,1,27,欣嘉园站(滨海欣嘉园公交站),欣嘉园第一小学,欣嘉园二期,欣华苑北门,黄港第一幼儿园,欣雅苑,滨海新区区委党校,滨海一号酒店,中建幸福城,塘沽森林公园,武警五支队,燃气公司,塘沽审判管理委员会,塘沽第一职专,贻正嘉合,宝山道,康乐园,贻丰园,宏达公寓,洋货市场,地道口[滨海塘沽],烟台道[滨海塘沽],和平路,塘沽外滩公园,东大街,公安街,高铁于家堡站(终点站),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,133路,0,39,外滩公安街公交站,东大街,塘沽外滩公园,和平路,烟台道[滨海塘沽],地道口[滨海塘沽],洋货市场,宏达公寓,贻丰园,康乐园,康乐园(鸿起顺饭庄),宝山道,贻正嘉合,勤美达公司,滨海创业园,东江路,裕川建材,公安缉毒大队,洞庭路[集疏港公路],黄海北路,北塘大街,动漫园,生态城服务中心(中新生态城),南部消防站,仁副营炮台(八一盐场),慧风溪(双威),芦花庄园(龙海国际乡村俱乐部),运营维护中心,航母公园,运河中路,交警滨海大队,泰达现代化工业区,石化路,天化,天化北门,新村街,汉沽百货大楼,汉沽建行,汉沽中心站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,133路,1,37,汉沽中心站,汉沽百货大楼,新村街,天化北门,天化,石化路,泰达现代化工业区,交警滨海大队,运河中路,航母公园,运营维护中心,芦花庄园(龙海国际乡村俱乐部),慧风溪(双威),仁副营炮台(八一盐场),南部消防站,生态城服务中心(中新生态城),动漫园,北塘大街,黄海北路,洞庭路[集疏港公路],公安缉毒大队,裕川建材,东江路,滨海创业园,勤美达公司,贻正嘉合,宝山道,康乐园,贻丰园,宏达公寓,洋货市场,地道口[滨海塘沽],烟台道[滨海塘沽],和平路,塘沽外滩公园,东大街,外滩公安街公交站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,153路,0,22,西站公交站(A2站台),西站南广场,五十一中学,民族中学,跃进里[西青道],杨庄子,跃升里,赵苑小区,杨柳青农场,物流中心,交通职业学院,曹庄子,建华医院,王庄子[西青区西青道],杨柳青发电厂,京福公路[津同公路],丰田发动机厂,轻工职业学院(轻工机械厂),西青医院,青云里,西青区政府,杨柳青公交站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,153路,1,22,杨柳青公交站,西青区政府,青云里,西青医院,轻工职业学院(轻工机械厂),丰田发动机厂,京福公路[津同公路],杨柳青发电厂,王庄子[西青区西青道],建华医院,曹庄子,交通职业学院,物流中心,杨柳青农场,赵苑小区,跃升里,杨庄子,跃进里[西青道],民族中学,五十一中学,西站南广场,西站公交站(A2站台),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,157路,0,28,东风里公交站,天塔,苍穹道,环湖西里,体育宾馆,体育学院,李七庄,中石油桥,津涞花园,杨楼,四号房,王台村,邓店村,程村,小南河,靶场,傅村,傅村中学,精武镇政府,精武镇国际商城,小镇西西里,民兴路,永红村,牛坨子村,孙庄子,馨谷科技园,宽馨园,西城寝园,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,157路,1,28,西城寝园,宽馨园,馨谷科技园,孙庄子,牛坨子村,永红村,民兴路,小镇西西里,精武镇国际商城,精武镇政府,傅村中学,傅村,靶场,小南河,程村,邓店村,王台村,四号房,杨楼,津涞花园,中石油桥,李七庄,体育学院,体育宾馆,环湖西里,苍穹道,天塔南(原环湖医院),东风里公交站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
