complete 2690,cost 5004.044893503189s.
complete 2700,cost 5022.620778560638s.
complete 2710,cost 5041.23295712471s.
complete 2720,cost 5059.811282873154s.
complete 2730,cost 5078.437485933304s.
complete 2740,cost 5097.045130491257s.
complete 2750,cost 5115.626529455185s.
complete 2760,cost 5134.209279298782s.
complete 2770,cost 5152.783959150314s.
complete 2780,cost 5171.529247283936s.
complete 2790,cost 5190.148228168488s.
complete 2800,cost 5208.793655157089s.
complete 2810,cost 5227.395624876022s.
complete 2820,cost 5246.0460839271545s.
complete 2830,cost 5264.625469923019s.
complete 2840,cost 5283.238650083542s.
complete 2850,cost 5301.821172952652s.
complete 2860,cost 5320.531090021133s.
complete 2870,cost 5339.128856658936s.
complete 2880,cost 5357.706412315369s.
complete 2890,cost 5376.317187070847s.
complete 2900,cost 5394.975477695465s.
complete 2910,cost 5413.539507627487s.
complete 2920,cost 5432.152988433838s.
complete 2930,cost 5450.850624084473s.
complete 2940,cost 5469.465343475342s.
complete 2950,cost 5488.025181293488s.
complete 2960,cost 5506.6355538368225s.
complete 2970,cost 5525.220100879669s.
complete 2980,cost 5543.837316036224s.
complete 2990,cost 5562.540330648422s.
complete 3000,cost 5581.18047618866s.
complete 3010,cost 5599.808331489563s.
complete 3020,cost 5618.379324197769s.
complete 3030,cost 5636.974981069565s.
complete 3040,cost 5655.849970340729s.
complete 3050,cost 5674.538073062897s.
complete 3060,cost 5693.261945724487s.
complete 3070,cost 5712.030799865723s.
complete 3080,cost 5730.816516637802s.
complete 3090,cost 5749.5408816337585s.
complete 3100,cost 5768.333525419235s.
complete 3110,cost 5787.220335006714s.
complete 3120,cost 5805.94447851181s.
complete 3130,cost 5824.695932865143s.
complete 3140,cost 5843.618983268738s.
complete 3150,cost 5862.32293343544s.
complete 3160,cost 5881.082829475403s.
complete 3170,cost 5899.916229486465s.
complete 3180,cost 5918.661951303482s.
complete 3190,cost 5937.342265367508s.
complete 3200,cost 5956.148886680603s.
complete 3210,cost 5974.973729848862s.
complete 3220,cost 5993.675487279892s.
complete 3230,cost 6012.43240737915s.
complete 3240,cost 6031.318810939789s.
